06/03/2026,11:35:53,43.00%,26.2°C,Stabile
06/03/2026,11:35:55,43.00%,26.2°C,Stabile
06/03/2026,11:35:57,43.00%,26.2°C,Stabile
06/03/2026,11:35:59,43.00%,26.2°C,Stabile
06/03/2026,11:36:01,43.00%,26.2°C,Stabile
06/03/2026,11:36:03,57.00%,26.7°C,In aumento
06/03/2026,11:36:05,66.00%,26.7°C,Stabile
06/03/2026,11:36:07,68.00%,27.1°C,In aumento
06/03/2026,11:36:09,69.00%,27.1°C,Stabile
06/03/2026,11:36:11,70.00%,27.1°C,Stabile
06/03/2026,11:36:13,70.00%,27.1°C,Stabile
06/03/2026,11:36:15,70.00%,27.1°C,Stabile
06/03/2026,11:36:17,69.00%,27.1°C,Stabile
06/03/2026,11:36:19,69.00%,27.1°C,Stabile
06/03/2026,11:36:21,68.00%,27.1°C,Stabile
06/03/2026,11:36:23,67.00%,27.1°C,Stabile
06/03/2026,11:36:25,66.00%,27.1°C,Stabile
06/03/2026,11:36:27,64.00%,27.1°C,Stabile
06/03/2026,11:36:29,63.00%,27.1°C,Stabile
06/03/2026,11:36:31,62.00%,27.1°C,Stabile
06/03/2026,11:36:33,64.00%,27.1°C,Stabile
06/03/2026,11:36:35,64.00%,27.1°C,Stabile
06/03/2026,11:36:37,64.00%,27.1°C,Stabile
06/03/2026,11:36:39,65.00%,27.1°C,Stabile
06/03/2026,11:36:41,64.00%,27.1°C,Stabile
06/03/2026,11:36:43,63.00%,27.1°C,Stabile
06/03/2026,11:36:45,62.00%,27.1°C,Stabile
06/03/2026,11:36:47,71.00%,27.1°C,Stabile
06/03/2026,11:36:49,70.00%,27.1°C,Stabile
06/03/2026,11:36:51,69.00%,27.1°C,Stabile
06/03/2026,11:36:53,68.00%,27.1°C,Stabile
06/03/2026,11:36:55,65.00%,27.1°C,Stabile
06/03/2026,11:36:57,63.00%,27.1°C,Stabile
06/03/2026,11:36:59,61.00%,27.1°C,Stabile
06/03/2026,11:37:01,59.00%,27.1°C,Stabile
06/03/2026,11:40:31,43.00%,26.2°C,Stabile
06/03/2026,11:40:33,43.00%,26.2°C,Stabile
06/03/2026,11:40:35,43.00%,26.2°C,Stabile
06/03/2026,11:40:37,43.00%,26.2°C,Stabile
06/03/2026,11:40:39,43.00%,26.2°C,Stabile
06/03/2026,11:40:41,57.00%,26.2°C,Stabile
06/03/2026,11:40:43,65.00%,26.7°C,In aumento
06/03/2026,11:40:45,66.00%,26.7°C,Stabile
06/03/2026,11:40:47,67.00%,26.7°C,Stabile
06/03/2026,11:40:49,67.00%,26.7°C,Stabile
06/03/2026,11:40:51,66.00%,26.7°C,Stabile
06/03/2026,11:40:53,65.00%,26.7°C,Stabile
06/03/2026,11:40:55,64.00%,26.7°C,Stabile
06/03/2026,11:40:57,63.00%,26.7°C,Stabile
